word,lemmas,points
fabs,fab,2
face,face,1
fact,fact,1
fade,fade,1
fado,fado,2
fads,fad,2
fags,fag,2
fahs,fah,3
fail,fail,1
fair,fair,1
fake,fake,1
fall,fall,1
falx,falx,3
fame,fame,1
fane,fane,3
fang,fang,2
fano,fano,3
fans,fan,1
fare,fare,1
farl,farl,3
farm,farm,1
faro,faro,2
fart,fart,2
fast,fast,1
fate,fate,1
fats,fat,1
faun,faun,2
fava,fava,2
fave,fave,2
fawn,fawn,2
fear,fear,1
feat,feat,1
feck,feck,3
feds,fed,2
feeb,feeb,3
feed,fee|feed,1
feel,feel,1
fees,fee,1
feet,foot,1
fehs,feh,3
fell,fall|fell,1
felt,feel|felt,1
feme,feme,3
fems,fem,3
fens,fen|fens,2
feod,feod,3
fere,fere,3
fern,fern,2
fest,fest,2
feta,feta,2
fete,fete,2
feud,feud,2
fiar,fiar,3
fiat,fiat,2
fibs,fib,2
fice,fice,3
fico,fico,3
fido,fido,3
fids,fid,3
fief,fief,2
fife,fife,2
fila,filum,3
file,file,1
filk,filk,3
fill,fill,1
film,film,1
filo,filo,2
fils,fil,3
find,find,1
fine,fine,1
fink,fink,2
fino,fino,3
fins,fin,1
fire,fire,1
firm,firm,1
firn,firn,3
firs,fir,2
fisc,fisc,3
fish,fish,1
fist,fist,1
fits,fit,1
five,five,1
fizz,fizz,2
flab,flab,2
flag,flag,1
flak,flak,2
flam,flam,3
flan,flan,2
flap,flap,1
flat,flat,1
flaw,flaw,1
flax,flax,2
flea,flea,1
flew,flew|fly,1
flex,flex,2
flic,flic,3
flip,flip,1
flir,flir,3
flit,flit,2
floe,floe,2
flop,flop,2
flow,flow,1
flub,flub,2
flue,flue,2
flus,flu,1
flux,flux,1
foal,foal,2
foam,foam,1
fobs,fob,2
foci,focus,1
foes,foe,1
fogs,fog,1
fogy,fogy,2
fohn,fohn,3
foil,foil,1
fold,fold,1
folk,folk,1
fons,fon,3
font,font,1
food,food,1
fool,fool,1
foos,foo,2
foot,foot,1
fops,fop,2
fora,forum,1
forb,forb,3
fore,fore,2
fork,fork,1
form,form,1
fort,fort,1
foss,foss,3
foul,foul,1
four,four,1
fowl,fowl,2
foys,foy,3
frag,frag,3
frat,frat,2
fray,fray,2
fret,fret,2
frig,frig,3
froe,froe,3
frog,frog,1
frow,frow,3
fuci,fucus,3
fuck,fuck,1
fuds,fud,3
fuel,fuel,1
fugu,fugu,3
fuji,fuji,3
fume,fume,2
fund,fund,1
funk,funk,2
furs,fur,1
fury,fury,1
fuse,fuse,2
fuss,fuss,1
fuzz,fuzz,2
fyce,fyce,3
fyke,fyke,3
fable,fable,2
facer,facer,3
faces,face,1
facet,facet,1
facia,facia,3
facta,factum,3
facts,fact,1
fader,fader,2
fados,fado,2
faena,faena,3
faery,faery,2
fagin,fagin,3
fails,fail,1
faint,faint,1
fairs,fair,1
fairy,fairy,1
faith,faith,1
faker,fake|faker,1
fakes,fake,1
fakie,fakie,3
fakir,fakir,2
falls,fall,1
fancy,fancy,1
fanes,fane,3
fanga,fanga,3
fangs,fang,2
fanny,fanny,2
fanon,fanon,3
fanos,fano,3
fanum,fanum,3
faqir,faqir,3
farad,farad,3
farce,farce,2
farcy,farcy,3
farer,farer,3
fares,fare,1
farle,farle,3
farls,farl,3
farms,farm,1
faros,faro,2
farro,farro,2
farts,fart,2
fasts,fast,1
fates,fate,1
fatso,fatso,2
fatty,fatty,1
fatwa,fatwa,2
fauld,fauld,3
fault,fault,1
fauna,fauna,2
fauns,faun,2
fauve,fauve,3
favas,fava,2
faves,fave,2
favor,favor,1
favus,favus,3
fawns,fawn,2
faxes,fax,1
fears,fear,1
feast,feast,1
feats,feat,1
feces,feces,2
fecks,feck,3
feebs,feeb,3
feeds,feed,1
feels,feel,1
feint,feint,2
feist,feist,3
felid,felid,3
fella,fella,1
fells,fell,2
felly,felly,3
felon,felon,2
felts,felt,2
femes,feme,3
femme,femme,2
femur,femur,2
fence,fence,1
feods,feod,3
feral,feral,2
feres,fere,3
feria,feria,3
ferly,ferly,3
fermi,fermi,3
ferns,fern,2
ferry,ferry,1
fesse,fesse,3
festa,festa,3
fests,fest,2
fetas,feta,2
fetch,fetch,1
fetes,fete,2
fetor,fetor,3
fetus,fetus,1
feuar,feuar,3
feuds,feud,2
fever,fever,1
fezes,fez,2
fiars,fiar,3
fiats,fiat,2
