word,points
absinth,3
absinthe,3
absinthes,3
absinths,3
acantha,3
acanthae,3
acanthi,3
acanthine,3
acanthocephalan,3
acanthoid,3
acanthous,3
acanthus,3
acanthuses,3
acrolith,3
acroliths,3
adulthood,2
adulthoods,3
aerolith,3
aeroliths,3
aesthesia,3
aesthesias,3
aesthete,3
aesthetes,3
aesthetic,2
aesthetical,3
aesthetically,2
aesthetician,3
aestheticians,3
aestheticism,3
aestheticisms,3
aestheticize,3
aestheticized,3
aestheticizes,3
aestheticizing,3
aesthetics,2
aether,3
aethereal,3
aetheric,3
aethers,3
aforethought,3
afterbirth,3
afterbirths,3
aftermath,2
aftermaths,3
afterthought,2
afterthoughts,3
agapanthus,3
agapanthuses,3
aggadoth,3
agnathan,3
agnathans,3
agoroth,3
ailanthic,3
ailanthus,3
ailanthuses,3
airth,3
airthed,3
airthing,3
airths,3
airworthier,3
airworthiest,3
airworthiness,3
airworthinesses,3
airworthy,3
alecithal,3
algorithm,2
algorithmic,2
algorithmically,3
algorithms,2
aliyoth,3
allelopathic,3
allelopathies,3
allelopathy,3
allethrin,3
allethrins,3
allochthon,3
allochthons,3
allopath,3
allopathic,3
allopathies,3
allopaths,3
allopathy,3
altazimuth,3
altazimuths,3
althaea,3
althaeas,3
althea,2
altheas,3
altho,3
althorn,3
althorns,3
although,1
altogether,2
altogethers,3
amaranth,3
amaranthine,3
amaranths,3
amethyst,2
amethystine,3
amethysts,3
amianthus,3
amianthuses,3
amphipathic,3
amphitheater,2
amphitheaters,3
amphitheatre,2
amphitheatres,3
amphitheatric,3
amphitheatrical,3
anacolutha,3
anacoluthic,3
anacoluthically,3
anacoluthon,3
anacoluthons,3
anaesthesia,3
anaesthesias,3
anaesthesiology,3
anaesthetic,3
anaesthetics,3
anaesthetise,3
anaesthetised,3
anaesthetises,3
anaesthetising,3
anaesthetist,3
anaesthetists,3
anaesthetize,3
anaesthetized,3
anaesthetizes,3
anaesthetizing,3
anarthria,3
anarthrias,3
anarthric,3
anathema,2
anathemas,3
anathemata,3
anathematize,3
anathematized,3
anathematizes,3
anathematizing,3
anesthesia,2
anesthesias,3
anesthesiology,3
anesthetic,2
anesthetically,3
anesthetics,3
anesthetist,3
anesthetists,3
anesthetize,3
