text,lemmas,points,timestamp,round
favorite,favorite,1,2788,0
future,future,1,4505,0
fitting,fit|fitting,1,6517,0
fetus,fetus,1,8574,0
fist,fist,1,10087,0
function,function,1,14150,0
feet,foot,1,19817,0
fibs,fib,2,26810,0
figure,figure,1,31026,0
finger,finger,1,32097,0
fistula,fistula,2,36829,0
fibula,fibula,2,39634,0
fill,fill,1,41997,0
film,film,1,47800,0
fries,fry,1,51846,0
flyer,flyer,1,55467,0
favorite,favorite,1,2788,1
future,future,1,4505,1
fitting,fit|fitting,1,6517,1
fetus,fetus,1,8574,1
fist,fist,1,10087,1
function,function,1,14150,1
feet,foot,1,19817,1
fibs,fib,2,26810,1
figure,figure,1,31026,1
finger,finger,1,32097,1
fistula,fistula,2,36829,1
fibula,fibula,2,39634,1
fill,fill,1,41997,1
film,film,1,47800,1
fries,fry,1,51846,1
flyer,flyer,1,55467,1
favorite,favorite,1,2788,2
future,future,1,4505,2
fitting,fit|fitting,1,6517,2
fetus,fetus,1,8574,2
fist,fist,1,10087,2
function,function,1,14150,2
feet,foot,1,19817,2
fibs,fib,2,26810,2
figure,figure,1,31026,2
finger,finger,1,32097,2
fistula,fistula,2,36829,2
fibula,fibula,2,39634,2
fill,fill,1,41997,2
film,film,1,47800,2
fries,fry,1,51846,2
flyer,flyer,1,55467,2
favorite,favorite,1,2788,3
future,future,1,4505,3
fitting,fit|fitting,1,6517,3
fetus,fetus,1,8574,3
fist,fist,1,10087,3
function,function,1,14150,3
feet,foot,1,19817,3
fibs,fib,2,26810,3
figure,figure,1,31026,3
finger,finger,1,32097,3
fistula,fistula,2,36829,3
fibula,fibula,2,39634,3
fill,fill,1,41997,3
film,film,1,47800,3
fries,fry,1,51846,3
flyer,flyer,1,55467,3
