word,points
aarrghh,3
abalone,3
abandon,2
abasers,3
abashed,3
abashes,3
abasias,3
abasing,3
abaters,3
abating,3
abators,3
abattis,3
abaxial,3
abaxile,3
abbotcy,3
abdomen,2
abduced,3
abduces,3
abducts,3
abelian,3
abelias,3
abettal,3
abetted,2
abetter,3
abettor,3
abeyant,3
abfarad,3
abhenry,3
abiders,3
abiding,2
abigail,2
ability,1
abioses,3
abiosis,3
abiotic,3
abjured,3
abjurer,3
abjures,3
ablated,3
ablates,3
ablator,3
ablauts,3
ableism,3
ableist,3
ablings,3
abluent,3
abluted,3
aboding,3
abolish,2
abollae,3
abomasa,3
abomasi,3
aborted,2
aborter,3
abortus,3
abought,3
aboulia,3
aboulic,3
abounds,2
abraded,3
abrader,3
abrades,3
abreact,3
abreast,2
abridge,3
abroach,3
abrosia,3
abscess,2
abscise,3
abscond,3
abseils,3
absence,1
absents,3
absinth,3
absolve,2
absorbs,2
abstain,2
absurds,3
abubble,3
abulias,3
abusers,2
abusing,2
abusive,2
abuttal,3
abutted,3
abutter,3
abvolts,3
abwatts,3
abysmal,2
abyssal,3
abysses,3
acacias,3
academe,2
academy,1
acajous,3
acaleph,3
acantha,3
acanthi,3
acapnia,3
acarids,3
acarine,3
acaroid,3
acaudal,3
acceded,3
acceder,3
accedes,3
accents,2
accepts,2
accidia,3
accidie,3
acclaim,2
accords,2
accosts,3
account,1
accrete,3
accrual,3
accrued,2
accrues,3
accurst,3
accusal,3
accused,1
accuser,2
accuses,2
acedias,3
acequia,3
acerate,3
acerber,3
acerbic,2
acerola,3
acerose,3
acerous,3
acetals,3
acetate,2
acetify,3
acetins,3
acetone,3
acetose,3
acetous,3
acetyls,3
achenes,3
achiest,3
achieve,1
achiote,3
achiral,3
acholia,3
acicula,3
acidify,3
acidity,2
aciform,3
acinose,3
acinous,3
aclinic,3
acmatic,3
acnodes,3
acolyte,2
aconite,3
acorned,3
acquest,3
acquire,2
acquits,3
acrasia,3
acrasin,3
acratic,3
acreage,2
acrider,3
acridly,3
acrobat,2
acrogen,3
acromia,3
acronic,3
acronym,2
acrotic,3
acrylic,2
actable,3
actinal,3
actings,3
actinia,3
actinic,3
actinon,3
actions,1
actives,3
actorly,3
actress,1
actuary,2
actuate,3
aculeus,3
acumens,3
acutely,2
acutest,3
acyclic,3
acylate,3
acyloin,3
adagial,3
adagios,3
adamant,2
adapted,2
adapter,2
adaptor,3
adaxial,3
addable,3
addaxes,3
addedly,3
addenda,3
addends,3
addible,3
addicts,2
addling,3
address,1
addrest,3
adduced,3
adducer,3
adduces,3
adducts,3
adeemed,3
adelgid,3
adenine,3
adenoid,3
adenoma,3
adenyls,3
adepter,3
adeptly,3
adhered,2
adherer,3
adheres,2
adhibit,3
adioses,3
adipose,2
adipous,3
adjoins,3
adjoint,3
adjourn,2
adjudge,3
adjunct,2
adjured,3
adjurer,3
adjures,3
adjuror,3
adjusts,2
adlands,3
admiral,2
admired,2
admirer,2
admires,2
admixed,3
admixes,3
adnexal,3
adnouns,3
adopted,1
adoptee,3
adopter,3
adorers,3
adoring,2
adorned,2
adorner,3
adrenal,2
adsorbs,3
adsukis,3
adulate,3
adultly,3
advance,1
advects,3
advents,3
