word,lemmas,pos,points
baal,baal,n,3
baas,baa|baas,n|v,3
baba,baba,n,2
babe,babe,n,1
babu,babu,n,3
baby,baby,j|n|v,1
back,back,i|j|n|r|v,1
bads,bad,n,1
bags,bag,n|v,1
baht,baht,n,2
bail,bail,n|v,1
bait,bait,n|v,1
bale,bale,n|v,2
balk,balk,n|v,2
ball,ball,n|v,1
balm,balm,n,2
bals,bal,n,3
banc,banc,n,3
band,band,n|v,1
bane,bane,n|v,2
bang,bang,n|v,1
bani,ban,n,1
bank,bank,n|v,1
bans,ban,n|v,1
baps,bap,n,3
barb,barb,n|v,2
bard,bard,n|v,2
barf,barf,n|v,2
bark,bark,n|v,1
barm,barm,n,3
barn,barn,n|v,1
bars,bar,n|v,1
base,base,j|n|v,1
bash,bash,n|v,1
bass,bass,j|n,1
bast,bast,n,2
bath,bath,n|v,1
bats,bat,n|v,1
batt,batt,n,2
baud,baud,n,2
bawd,bawd,n,3
bawk,bawk,n,3
bawn,bawn,n,3
bays,bay,n|v,1
bead,bead,n|v,1
beak,beak,n,2
beal,beal,n,3
beam,beam,n|v,1
bean,bean,n|v,1
bear,bear,n|v,1
beat,beat,n|v,1
beau,beau,n,2
beck,beck,n|v,2
beds,bed,n|v,1
bedu,bedu,n,3
beef,beef,n|v,1
beep,beep,n|v,2
beer,beer,n,1
bees,bee,n,1
beet,beet,n,2
bell,bell,n|v,1
bels,bel,n,2
belt,belt,n|v,1
bema,bema,n,3
bend,bend,n|v,1
bene,bene,n,3
bens,ben,n,3
bent,bend|bent,j|n|v,1
berg,berg,n,2
berk,berk,n,3
berm,berm,n|v,2
beta,beta,n,1
beth,beth,n,3
bets,bet,n|v,1
bevy,bevy,n,2
beys,bey,n,2
bhut,bhut,n,3
bias,bias,n|v,1
bibb,bibb,n,3
bibe,bibe,n,3
bibs,bib,n|v,2
bice,bice,n,3
bidi,bidi,n,3
bids,bid,n|v,1
bier,bier,n,2
bigs,big,n,1
bike,bike,n|v,1
bile,bile,n,2
bill,bill,n|v,1
bima,bima,n,3
bind,bind,n|v,1
bine,bine,n,3
biog,biog,n,3
bios,bio,n,2
bird,bird,n|v,1
birk,birk,n,3
biro,biro,n,3
birr,birr,n|v,3
bise,bise,n,3
bish,bish,n,3
bisk,bisk,n,3
bite,bite,n|v,1
bits,bit,n|v,1
bize,bize,n,3
blah,blah,j|n|u,1
bleb,bleb,n,3
blet,blet,n,3
blin,blin,n,3
blip,blip,n|v,2
blob,blob,n|v,2
bloc,bloc,n,1
blog,blog,n|v,1
blot,blot,n|v,2
blow,blow,n|v,1
blue,blue,j|n|v,1
blur,blur,n|v,1
boar,boar,n,2
boas,boa,n,2
boat,boat,n|v,1
bobo,bobo,n,3
bock,bock,n,3
bods,bod,n,2
body,body,n|v,1
boff,boff,n|v,3
bogs,bog,n|v,2
bogy,bogy,n,3
boho,boho,n,3
boil,boil,n|v,1
bola,bola,n,2
bole,bole,n,2
boll,boll,n|v,2
bolo,bolo,n,2
bolt,bolt,n|v,1
bomb,bomb,n|v,1
bond,bond,n|v,1
bone,bone,n|v,1
bong,bong,n|v,2
bonk,bonk,n|v,2
boob,boob,n|v,1
book,book,n|v,1
boom,boom,n|v,1
boon,boon,j|n,2
boor,boor,n,2
boos,boo,n|v,2
boot,boot,n|v,1
bops,bop,n|v,2
bora,bora,n,3
bore,bear|bore,n|v,1
bort,bort,n,3
bosh,bosh,n,3
bosk,bosk,n,3
boss,boss,j|n|v,1
bota,bota,n,3
bots,bot,n,2
bott,bott,n,3
bout,bout,n,1
bowl,bowl,n|v,1
bows,bow,n|v,1
boyo,boyo,n,2
boys,boy,n,1
bozo,bozo,n,2
brad,brad,n|v,2
brae,brae,n,3
brag,brag,j|n|v,1
bran,bran,n|v,2
bras,bra,n,1
brat,brat,n,2
bray,bray,n|v,2
bree,bree,n,3
bren,bren,n,3
brew,brew,n|v,2
brie,brie,n,2
brig,brig,n,2
brim,brim,n|v,2
brin,brin,n,3
brio,brio,n,2
bris,bris,n,2
brit,brit,n,1
broo,broo,n,3
bros,bro,n,1
brow,brow,n,1
brut,brut,n,3
bubo,bubo,n,3
bubs,bub,n,3
bubu,bubu,n,3
buck,buck,n|v,1
buds,bud,n|v,1
buff,buff,j|n|v,2
bugs,bug,n|v,1
buhl,buhl,n,3
buhr,buhr,n,3
bulb,bulb,n,1
bulk,bulk,n|v,1
bull,bull,n|v,1
bumf,bumf,n,3
bump,bump,n|v,1
bums,bum,n|v,1
buna,buna,n,3
bund,bund,n,2
bung,bung,n|v,2
bunk,bunk,n|v,1
bunn,bunn,n,3
buns,bun,n,1
bunt,bunt,n|v,2
buoy,buoy,n|v,2
bura,bura,n,3
burb,burb,n,2
burd,burd,n,3
burg,burg,n,2
burk,burk,n,3
burl,burl,n|v,2
burn,burn,n|v,1
burp,burp,n|v,2
burr,burr,n|v,2
bush,bush,n|v,1
buss,buss,n|v,2
bust,bust,j|n|v,1
bute,bute,n,3
buts,but,n,1
butt,butt,n|v,1
buys,buy,n|v,1
buzz,buzz,n|v,1
byes,bye,n,1
byre,byre,n,3
byte,byte,n,2
baals,baal,n,3
babas,baba,n,2
babel,babel,n,2
babes,babe,n,1
babka,babka,n,3
baboo,baboo,n,3
babul,babul,n,3
babus,babu,n,3
bacca,bacca,n,3
baccy,baccy,n,3
backs,back,n|v,1
bacon,bacon,n,1
baddy,baddy,n,2
badge,badge,n|v,1
baffy,baffy,n,3
bagel,bagel,n,2
bahts,baht,n,2
bails,bail,n|v,1
bairn,bairn,n,2
baits,bait,n|v,1
baiza,baiza,n,3
baize,baize,n,2
baker,baker,n,2
balas,balas,n,3
baldy,baldy,n,2
baler,baler,n,2
bales,bale,n|v,2
balks,balk,n|v,2
balls,ball|balls,n|v,1
bally,bally,j|n,3
balms,balm,n,2
balsa,balsa,n,2
balti,balti,n,3
banco,banco,n,3
bancs,banc,n,3
banda,banda,n,2
bands,band,n|v,1
banes,bane,n|v,2
bangs,bang,n|v,1
banjo,banjo,n,2
banks,bank,n|v,1
banns,banns,n,3
banty,banty,n,3
barbe,barbe,n,3
barbs,barb,n|v,2
barca,barca,n,3
bards,bard,n|v,2
barfi,barfi,n,3
barge,barge,n|v,2
barks,bark,n|v,1
barms,barm,n,3
barns,barn,n|v,1
baron,baron,n,1
barre,barre,n|v,2
barye,barye,n,3
bases,base|basis,n|v,1
basic,basic,j|n,1
basil,basil,n,1
basin,basin,n,1
basis,basis,n,1
bassi,basso,n,2
basso,basso,n,2
basts,bast,n,2
batch,batch,n|v,1
baths,bath,n,1
batik,batik,n|v,2
baton,baton,n,2
batts,batt,n,2
bauds,baud,n,2
bawds,bawd,n,3
bawdy,bawdy,j|n,2
bawks,bawk,n,3
bawns,bawn,n,3
bawty,bawty,n,3
bayou,bayou,n,2
bazar,bazar,n,3
bazoo,bazoo,n,3
beach,beach,n|v,1
beads,bead,n|v,1
beaks,beak,n,2
beals,beal,n,3
beams,beam,n|v,1
beano,beano,n,3
beans,bean,n|v,1
beard,beard,n|v,1
bears,bear,n|v,1
beast,beast,n,1
beats,beat,n|v,1
beaus,beau,n,2
beaut,beaut,j|n,2
beaux,beau,n,2
bebop,bebop,n|v,2
becks,beck,n|v,2
bedel,bedel,n,3
beech,beech,n,2
beedi,beedi,n,3
beefs,beef,n|v,1
beeps,beep,n|v,2
beers,beer,n,1
beets,beet,n,2
begum,begum,n,3
beige,beige,j|n,2
being,be|being,n|v,1
belay,belay,n|v,2
belch,belch,n|v,2
belga,belga,n,3
belle,belle,n,2
bells,bell,n|v,1
belly,belly,n|v,1
belon,belon,n,3
below,below,i|n|r,1
belts,belt,n|v,1
bemas,bema,n,3
bench,bench,n|v,1
bends,bend,n|v,1
bendy,bendy,j|n,2
benes,bene,n,3
benne,benne,n,3
benni,benni,n,3
benny,benny,n,3
bento,bento,n,2
bents,bent,n,2
beret,beret,n,2
bergs,berg,n,2
berks,berk,n,3
berme,berme,n,3
berms,berm,n|v,2
berry,berry,n|v,1
berth,berth,n|v,2
beryl,beryl,n,3
beses,bes,n,3
besom,besom,n,3
betas,beta,n,1
betel,betel,n,2
beths,beth,n,3
beton,beton,n,3
betta,betta,n,2
bevel,bevel,n|v,2
bevor,bevor,n,3
bevvy,bevvy,n,3
bezel,bezel,n,2
bezil,bezil,n,3
bhaji,bhaji,n,3
bhang,bhang,n,3
bhoot,bhoot,n,3
bhuts,bhut,n,3
biali,biali,n,3
bialy,bialy,n,3
bibbs,bibb,n,3
bibes,bibe,n,3
bible,bible,n,1
bicep,bicep,n,3
bices,bice,n,3
biddy,biddy,n,2
bider,bider,n,3
bidet,bidet,n,2
bidis,bidi,n,3
biers,bier,n,2
biffy,biffy,n,3
biggy,biggy,n,2
bight,bight,n|v,2
bigos,bigos,n,3
bigot,bigot,n,2
bijou,bijou,n,2
biker,biker,n,2
bikes,bike,n|v,1
bikie,bikie,n,3
bilbo,bilbo,n,3
bilby,bilby,n,3
biles,bile,n,2
bilge,bilge,n|v,2
bills,bill,n|v,1
billy,billy,n,2
bimah,bimah,n,3
bimas,bima,n,3
bimbo,bimbo,n,2
bindi,bindi,n,3
binds,bind,n|v,1
biner,biner,n,3
bines,bine,n,3
binge,binge,n|v,2
bingo,bingo,n,1
binit,binit,n,3
biogs,biog,n,3
biome,biome,n,2
biont,biont,n,3
biota,biota,n,2
biped,biped,j|n,3
bipod,bipod,n,3
birch,birch,n|v,2
birds,bird,n|v,1
birks,birk,n,3
biros,biro,n,3
birse,birse,n,3
birth,birth,n|v,1
bises,bise,n,3
bisks,bisk,n,3
bison,bison,n,2
bitch,bitch,n|v,1
biter,biter,n,2
bites,bite,n|v,1
bizes,bize,n,3
black,black,j|n|v,1
blade,blade,n|v,1
blaff,blaff,n,3
blahs,blah,n,1
blain,blain,n,3
blame,blame,n|v,1
blank,blank,j|n|r|v,1
blare,blare,n|v,2
blast,blast,n|v,1
blaze,blaze,n|v,1
bleak,bleak,j|n,1
bleat,bleat,n|v,2
blebs,bleb,n,3
bleep,bleep,n|v,2
blend,blend,n|v,1
blets,blet,n,3
blimp,blimp,n,2
