word,lemmas,pos,points
blind,blind,j|n|v,1
bling,bling,n|v,2
blini,blin,n,3
blink,blink,n|v,1
bliny,blin,n,3
blips,blip,n|v,2
bliss,bliss,n|v,1
blite,blite,n,3
blitz,blitz,n|v,2
bloat,bloat,n|v,2
blobs,blob,n|v,2
block,block,n|v,1
blocs,bloc,n,1
blogs,blog,n|v,1
bloke,bloke,n,2
blond,blond,j|n,1
blood,blood,n|v,1
bloom,bloom,n|v,1
bloop,bloop,n|v,3
blots,blot,n|v,2
blows,blow,n|v,1
blues,blue,n|v,1
bluet,bluet,n,3
bluey,bluey,n,3
bluff,bluff,j|n|v,1
blurb,blurb,n|v,2
blurs,blur,n|v,1
blush,blush,n|v,1
blype,blype,n,3
board,board,i|n|v,1
boars,boar,n,2
boart,boart,n,3
boast,boast,n|v,1
boats,boat,n|v,1
bobby,bobby,n,2
bobos,bobo,n,3
bocce,bocce,n,2
bocci,bocci,n,3
bocks,bock,n,3
boeuf,boeuf,n,3
boffo,boffo,n,2
boffs,boff,n|v,3
bogan,bogan,n,3
bogey,bogey,n|v,2
bogie,bogie,n,3
bogle,bogle,n,3
bohea,bohea,n,3
bohos,boho,n,3
boils,boil,n|v,1
boite,boite,n,3
bokeh,bokeh,n,3
bolas,bola|bolas,n,2
boles,bole,n,2
bolls,boll,n|v,2
bolos,bolo,n,2
bolts,bolt,n|v,1
bolus,bolus,n,2
bombe,bombe,n,3
bombs,bomb,n|v,1
bonce,bonce,n,3
bonds,bond,n|v,1
boner,boner,n,2
bones,bone,n|v,1
bongo,bongo,n,2
bongs,bong,n|v,2
bonne,bonne,n,3
bonny,bonny,j|n,2
bonus,bonus,n,1
bonze,bonze,n,3
boobs,boob,n|v,1
booby,booby,n,2
boody,boody,n,3
books,book,n|v,1
booms,boom,n|v,1
boons,boon,n,2
boors,boor,n,2
boost,boost,n|v,1
booth,booth,n,1
boots,boot,n|v,1
booty,booty,n,2
booze,booze,n|v,1
boral,boral,n,3
boras,bora,n,3
borax,borax,n,2
borer,borer,n,2
bores,bore,n|v,1
boron,boron,n,2
borts,bort,n,3
bortz,bortz,n,3
bosks,bosk,n,3
bosom,bosom,n|v,2
boson,boson,n,2
bossy,bossy,j|n,2
bosun,bosun,n,2
botas,bota,n,3
botch,botch,n|v,2
botel,botel,n,3
bothy,bothy,n,3
botts,bott,n,3
bough,bough,n,2
boule,boule,n,3
bound,bind|bound,j|n|v,1
bourg,bourg,n,3
bourn,bourn,n,3
bouts,bout,n,1
bovid,bovid,n,3
bowel,bowel,n|v,1
bower,bower,n|v,2
bowls,bowl,n|v,1
boxer,boxer,n,1
boxes,box,n|v,1
boxla,boxla,n,3
boyar,boyar,n,2
boyla,boyla,n,3
boyos,boyo,n,2
bozos,bozo,n,2
brace,brace,n|v,1
brach,brach,n,3
bract,bract,n,2
brads,brad,n|v,2
braes,brae,n,3
brags,brag,n|v,1
braid,braid,n|v,2
brain,brain,n|v,1
brake,brake,n|v,1
brand,brand,n|v,1
brank,brank,n,3
brans,bran,n|v,2
brant,brant,n,3
brash,brash,j|n,2
brass,brass,n|v,1
brats,brat,n,2
brava,brava,n,2
bravi,bravo,n,2
bravo,bravo,n|u|v,2
brawl,brawl,n|v,2
brawn,brawn,n,2
braws,braws,n,3
braxy,braxy,n,3
brays,bray,n|v,2
braza,braza,n,3
bread,bread,n|v,1
break,break,n|v,1
bream,bream,n|v,2
brede,brede,n,3
breed,breed,n|v,1
brees,bree,n,3
brens,bren,n,3
brent,brent,n,3
breve,breve,n,3
brews,brew,n|v,2
briar,briar,n,2
bribe,bribe,n|v,2
brick,brick,n|v,1
bride,bride,n,1
brief,brief,j|n|r|v,1
brier,brier,n,2
bries,brie,n,2
brigs,brig,n,2
brill,brill,j|n,3
brims,brim,n|v,2
brine,brine,n|v,2
brink,brink,n,1
brins,brin,n,3
briny,briny,j|n,2
brios,brio,n,2
briss,briss,n,3
brith,brith,n,3
brits,brit,n,1
britt,britt,n,3
broad,broad,j|n,1
broch,broch,n,3
brock,brock,n,3
broil,broil,n|v,2
brome,brome,n,3
bromo,bromo,n,3
bronc,bronc,n,2
brood,brood,n|v,2
brook,brook,n|v,2
broom,broom,n|v,2
broos,broo,n,3
brose,brose,n,3
broth,broth,n,1
brown,brown,j|n|v,1
brows,brow,n,1
brugh,brugh,n,3
bruin,bruin,n,2
bruit,bruit,n|v,3
brume,brume,n,3
brunt,brunt,n,2
brush,brush,n|v,1
brute,brute,j|n|v,2
bruts,brut,n,3
bubal,bubal,n,3
bubbe,bubbe,n,3
bubby,bubby,n,3
bubus,bubu,n,3
bucko,bucko,n,2
bucks,buck,n|v,1
buddy,buddy,n|v,1
buffi,buffo,n,3
buffo,buffo,n,3
buffs,buff,n|v,2
buggy,buggy,j|n,2
bugle,bugle,n|v,2
buhls,buhl,n,3
buhrs,buhr,n,3
build,build,n|v,1
bulbs,bulb,n,1
bulge,bulge,n|v,2
bulks,bulk,n|v,1
bulla,bulla,n,3
bulls,bull,n|v,1
bully,bully,j|n|v,1
bumfs,bumf,n,3
bumph,bumph,n,3
bumps,bump,n|v,1
bunas,buna,n,3
bunch,bunch,n|v,1
bunco,bunco,n|v,3
bunds,bund,n,2
bundt,bundt,n,2
bungs,bung,n|v,2
bunks,bunk,n|v,1
bunns,bunn,n,3
bunny,bunny,n,1
bunts,bunt,n|v,2
bunya,bunya,n,3
buoys,buoy,n|v,2
buppy,buppy,n,3
buran,buran,n,3
buras,bura,n,3
burbs,burb,n,2
burds,burd,n,3
buret,buret,n,3
burfi,burfi,n,3
burgh,burgh,n,3
burgs,burg,n,2
burin,burin,n,3
burka,burka,n,2
burks,burk,n,3
burns,burn,n|v,1
burps,burp,n|v,2
burqa,burqa,n,2
burro,burro,n,2
burrs,burr,n|v,2
bursa,bursa,n,3
burse,burse,n,3
burst,burst,j|n|v,1
busby,busby,n,3
buses,bus,n|v,1
bushy,bushy,j|n,2
busts,bust,n|v,1
butch,butch,j|n,2
buteo,buteo,n,3
butes,bute,n,3
butoh,butoh,n,3
butte,butte,n,2
butts,butt,n|v,1
butty,butty,n,3
butut,butut,n,3
butyl,butyl,n,3
buyer,buyer,n,1
bwana,bwana,n,3
bylaw,bylaw,n,2
byres,byre,n,3
byssi,byssus,n,3
bytes,byte,n,2
byway,byway,n,2
baalim,baal,n,3
babacu,babacu,n,3
babble,babble,n|v,2
babels,babel,n,2
babies,baby,n|v,1
babkas,babka,n,3
babool,babool,n,3
baboon,baboon,n,2
baboos,baboo,n,3
babuls,babul,n,3
baccae,bacca,n,3
backer,backer,n,1
backup,backup,n|v,1
bacons,bacon,n,1
bacula,baculum,n,3
badass,badass,n,2
baddie,baddie,n,2
badger,badger,n|v,2
badges,badge,n|v,1
badman,badman,n,3
badmen,badman,n,3
baffle,baffle,n|v,2
bagass,bagass,n,3
bagels,bagel,n,2
bagful,bagful,n,2
bagger,bagger,n,2
baggie,baggie,n,2
bagman,bagman,n,2
bagmen,bagman,n,2
bagnio,bagnio,n,3
baguet,baguet,n,3
bagwig,bagwig,n,3
baidar,baidar,n,3
bailee,bailee,n,3
bailer,bailer,n,3
bailey,bailey,n,3
bailie,bailie,n,3
bailor,bailor,n,3
bairns,bairn,n,2
baiter,baiter,n,2
baizas,baiza,n,3
baizes,baize,n,2
bakers,baker,n,2
bakery,bakery,n,1
baking,bake|baking,j|n|v,1
balata,balata,n,3
balboa,balboa,n,3
baldie,baldie,n,3
baleen,baleen,n,2
balers,baler,n,2
baling,bale|baling,n|v,2
balker,balker,n,3
ballad,ballad,n,2
baller,baller,n,2
ballet,ballet,n,1
ballon,ballon,n,3
ballot,ballot,n|v,1
balsam,balsam,n|v,2
balsas,balsa,n,2
baltis,balti,n,3
bamboo,bamboo,n,1
banana,banana,n,1
bancos,banco,n,3
bandas,banda,n,2
bander,bander,n,3
bandit,bandit,n,2
bandog,bandog,n,3
banger,banger,n,2
bangle,bangle,n,2
banian,banian,n,3
banjos,banjo,n,2
banker,banker,n,1
bankit,bankit,n,3
banner,banner,n|v,1
bannet,bannet,n,3
bantam,bantam,n,2
banter,banter,n|v,2
banyan,banyan,j|n,2
banzai,banzai,n,2
baobab,baobab,n,2
barbel,barbel,n,3
barber,barber,n|v,2
barbes,barbe,n,3
barbet,barbet,n,3
barbie,barbie,n,2
barbot,barbot,n,3
barbut,barbut,n,3
barcas,barca,n,3
barege,barege,n,3
barfis,barfi,n,3
barfly,barfly,n,3
bargee,bargee,n,3
barges,barge,n|v,2
barite,barite,n,3
barium,barium,n,2
barker,barker,n,2
barley,barley,n,2
barlow,barlow,n,3
barman,barman,n,2
barmen,barman,n,2
barney,barney,n,3
barong,barong,n,3
barons,baron,n,1
barony,barony,n,3
barque,barque,n,3
barrel,barrel,n|v,1
barren,barren,j|n,2
barret,barret,n,3
barrio,barrio,n,3
barrow,barrow,n,2
barter,barter,n|v,2
baryes,barye,n,3
baryon,baryon,n,2
baryta,baryta,n,3
baryte,baryte,n,3
basalt,basalt,n,2
bashaw,bashaw,n,3
basher,basher,n,2
bashes,bash,n|v,1
basics,basic,n,1
basils,basil,n,1
basins,basin,n,1
basion,basion,n,3
basket,basket,n,1
basque,basque,j|n,2
basses,bass,n,1
basset,basset,n|v,2
bassos,basso,n,2
baster,baster,n,2
batard,batard,n,3
batata,batata,n,3
batboy,batboy,n,3
bateau,bateau,n,3
bather,bather,n,2
bathos,bathos,n,3
batiks,batik,n|v,2
batman,batman,n,2
batmen,batman,n,2
batons,baton,n,2
batten,batten,n|v,2
batter,batter,n|v,1
battik,battik,n,3
battle,battle,n|v,1
battue,battue,n,3
baubee,baubee,n,3
bauble,bauble,n,2
bawbee,bawbee,n,3
bawdry,bawdry,n,3
bawler,bawler,n,3
bawtie,bawtie,n,3
bayamo,bayamo,n,3
bayard,bayard,n,3
baying,bay,n|v,1
bayman,bayman,n,3
baymen,bayman,n,3
bayous,bayou,n,2
baywop,baywop,n,3
bazaar,bazaar,n,2
bazars,bazar,n,3
bazoom,bazoom,n,3
bazoos,bazoo,n,3
beacon,beacon,n|v,2
beader,beader,n,3
beadle,beadle,n,3
beagle,beagle,n|v,2
beaker,beaker,n,2
beanie,beanie,n,2
beanos,beano,n,3
beards,beard,n|v,1
bearer,bearer,n,2
beasts,beast,n,1
beater,beater,n,2
beauts,beaut,n,2
beauty,beauty,n,1
beaver,beaver,n|v,2
bebops,bebop,n,2
becket,becket,n,3
bedbug,bedbug,n,2
bedder,bedder,n,3
bedell,bedell,n,3
bedels,bedel,n,3
bedlam,bedlam,n,2
bedpan,bedpan,n,2
bedsit,bedsit,n,3
beduin,beduin,n,3
beebee,beebee,n,3
beeper,beeper,n,2
beetle,beetle,n|v,1
beeves,beef,n,1
beezer,beezer,n,3
beggar,beggar,n|v,2
begums,begum,n,3
behalf,behalf,i|n,1
behest,behest,n,2
behind,behind,i|n|r,1
behoof,behoof,n,3
beiges,beige,n,2
beigne,beigne,n,3
beings,being,n,1
beldam,beldam,n,3
belfry,belfry,n,2
belgas,belga,n,3
belief,belief,n,1
belier,belier,n,3
belles,belle,n,2
bellow,bellow,n|v,2
belons,belon,n,3
belows,below,n,1
belter,belter,n,3
beluga,beluga,n,2
bemata,bema,n,3
bendee,bendee,n,3
bender,bender,n,2
bendys,bendy,n,2
bennes,benne,n,3
bennet,bennet,n,3
bennis,benni,n,3
bentos,bento,n,2
benzin,benzin,n,3
benzol,benzol,n,3
benzyl,benzyl,n,3
berber,berber,j|n,2
berets,beret,n,2
berlin,berlin,n,2
bermes,berme,n,3
bertha,bertha,n,3
berths,berth,n|v,2
beryls,beryl,n,3
besoms,besom,n,3
bestie,bestie,n,3
betels,betel,n,2
bethel,bethel,n,3
betise,betise,n,3
betons,beton,n,3
betony,betony,n,3
bettas,betta,n,2
bettor,bettor,n,2
bevels,bevel,n|v,2
bevies,bevy,n,2
bevors,bevor,n,3
beylic,beylic,n,3
beylik,beylik,n,3
beyond,beyond,i|n|r,1
bezant,bezant,n,3
bezazz,bezazz,n,3
bezels,bezel,n,2
bezils,bezil,n,3
bezoar,bezoar,n,3
bhajis,bhaji,n,3
bhakta,bhakta,n,3
bhakti,bhakti,n,3
bhangs,bhang,n,3
bharal,bharal,n,3
bhoots,bhoot,n,3
bialis,biali,n,3
bialys,bialy,n,3
biases,bias,j|n|v,1
bibber,bibber,n,3
bibles,bible,n,1
bicarb,bicarb,n,3
biceps,bicep|biceps,n,2
bicorn,bicorn,n,3
bicron,bicron,n,3
bidder,bidder,n,2
biders,bider,n,3
bidets,bidet,n,2
biface,biface,n,3
biffin,biffin,n,3
bifida,bifidum,n,3
bifold,bifold,n,3
bigamy,bigamy,n,2
bigeye,bigeye,n,3
biggie,biggie,n,2
biggin,biggin,n,3
bigots,bigot,n,2
bigwig,bigwig,n,2
bijous,bijou,n,2
bijoux,bijou,n,2
bikers,biker,n,2
bikies,bikie,n,3
biking,bike,j|n|v,1
bikini,bikini,n,1
bilboa,bilboa,n,3
bilbos,bilbo,n,3
bilges,bilge,n|v,2
bilker,bilker,n,3
biller,biller,n,3
billet,billet,n|v,2
billie,billie,n,3
billon,billon,n,3
billow,billow,n|v,2
bimahs,bimah,n,3
bimbos,bimbo,n,2
bimini,bimini,n,3
binary,binary,j|n,1
binder,binder,n,2
bindis,bindi,n,3
bindle,bindle,n,3
biners,biner,n,3
binger,binger,n,3
binges,binge,n|v,2
bingos,bingo,n,1
binits,binit,n,3
binman,binman,n,3
binmen,binman,n,3
binocs,binocs,n,3
biogas,biogas,n,2
biogen,biogen,n,3
biomes,biome,n,2
bionts,biont,n,3
biopic,biopic,n,2
biopsy,biopsy,n|v,2
biotas,biota,n,2
biotin,biotin,n,2
bipack,bipack,n,3
bipeds,biped,n,3
bipods,bipod,n,3
birder,birder,n,2
birdie,birdie,n|v,2
bireme,bireme,n,3
birkie,birkie,n,3
birler,birler,n,3
birses,birse,n,3
births,birth,n|v,1
bishes,bish,n,3
bishop,bishop,n|v,1
bisons,bison,n,2
bisque,bisque,n,2
bister,bister,n,3
bistre,bistre,n,3
bistro,bistro,n,2
biters,biter,n,2
bitmap,bitmap,n|v,2
bitter,bitter,j|n|v,1
bizjet,bizjet,n,3
bizone,bizone,n,3
bizzes,biz,n,2
blacks,black,n|v,1
blader,blader,n,3
blades,blade,n|v,1
blaffs,blaff,n,3
blague,blague,n,3
blains,blain,n,3
blamer,blamer,n,3
blanks,blank,n|v,1
blares,blare,n|v,2
blasts,blast,n|v,1
blazer,blazer,n,1
blazes,blaze,n|v,1
blazon,blazon,n|v,3
bleach,bleach,n|v,2
bleaks,bleak,n,1
bleats,bleat,n|v,2
bleeps,bleep,n|v,2
blende,blende,n,3
blends,blend,n|v,1
blenny,blenny,n,3
blewit,blewit,n,3
blight,blight,n|v,2
blimps,blimp,n,2
blinds,blind,n|v,1
blinis,blin,n,3
blinks,blink,n|v,1
blintz,blintz,n,3
blites,blite,n,3
blocks,block,n|v,1
blokes,bloke,n,2
blonde,blonde,j|n,1
blonds,blond,n,1
bloods,blood,n|v,1
blooms,bloom,n|v,1
blotch,blotch,n|v,2
blouse,blouse,n|v,1
blowby,blowby,n,3
blower,blower,n,2
blowup,blowup,n,3
bluets,bluet,n,3
blueys,bluey,n,3
bluffs,bluff,n|v,1
bluing,blue|bluing,n|v,1
blurbs,blurb,n|v,2
blypes,blype,n,3
boards,board,n|v,1
boarts,boart,n,3
boasts,boast,n|v,1
boatel,boatel,n,3
boater,boater,n,2
bobber,bobber,n,2
bobbin,bobbin,n,2
bobble,bobble,n|v,2
bobcat,bobcat,n,2
bocces,bocce,n,2
boccia,boccia,n,3
boccie,boccie,n,3
boccis,bocci,n,3
bodega,bodega,n,2
bodice,bodice,n,2
bodies,body,n|v,1
boding,bode|boding,n|v,2
bodkin,bodkin,n,3
boeufs,boeuf,n,3
boffin,boffin,n,3
boffos,boffo,n,2
bogans,bogan,n,3
bogeys,bogey,n|v,2
bogies,bogie|bogy,n,3
bogles,bogle,n,3
boheas,bohea,n,3
boiler,boiler,n,2
boites,boite,n,3
bokehs,bokeh,n,3
bokken,bokken,n,3
bolero,bolero,n,2
bolete,bolete,n,3
boleti,boletus,n,3
bolide,bolide,n,3
bolshy,bolshy,n,3
bolson,bolson,n,3
bolter,bolter,n,3
bomber,bomber,n,1
bombes,bombe,n,3
bombyx,bombyx,n,3
bonaci,bonaci,n,3
bonbon,bonbon,n,2
bonces,bonce,n,3
bonder,bonder,n,3
bonduc,bonduc,n,3
boners,boner,n,2
bonged,bong,n|v,2
bongos,bongo,n,2
bonita,bonita,n,3
bonito,bonito,n,2
bonnes,bonne,n,3
bonnet,bonnet,n|v,2
bonobo,bonobo,n,2
bonsai,bonsai,n,2
bonzes,bonze,n,3
boobie,boobie,n,3
booboo,booboo,n,3
boocoo,boocoo,n,3
booger,booger,n,2
boogie,boogie,n|v,2
boohoo,boohoo,n|v,3
booing,boo,n|v,2
boojum,boojum,n,3
booker,booker,n,2
bookie,bookie,n,2
bookoo,bookoo,n,3
boomer,boomer,n,1
boosts,boost,n|v,1
bootee,bootee,n,3
booths,booth,n,1
bootie,bootie,n,2
boozer,boozer,n,2
bopeep,bopeep,n,3
bopper,bopper,n,2
borage,borage,n,3
borals,boral,n,3
borane,borane,n,3
borate,borate,n|v,3
bordel,bordel,n,3
border,border,n|v,1
boreas,boreas,n,3
boreen,boreen,n,3
borers,borer,n,2
boride,boride,n,3
boring,bore|boring,j|n|v,1
borons,boron,n,2
borsch,borsch,n,3
borsht,borsht,n,3
borzoi,borzoi,n,3
boshes,bosh,n,3
bosket,bosket,n,3
bosoms,bosom,n|v,2
bosons,boson,n,2
bosque,bosque,n,3
